name,location,description,stars,booking_user_ratings,num_external_reviews,has_free_cancelation,duration,is_bestseller,price
Rijksmuseum Admission,Amsterdam,A visit to see Rembrandt’s 'The Night Watch' and other famous Dutch paintings,4.6 / 5,Excellent,(923 reviews),False,,True,€ 22.50
Heineken Experience Amsterdam,Amsterdam,A visit to discover the secrets of the world-famous Heineken brewery,4.5 / 5,Excellent,(762 reviews),False,Duration: 1 hour 30 minutes,True,€ 23
Van Gogh Museum Admission,Amsterdam,A chance to learn about the works and inspirations of Vincent Van Gogh,4.7 / 5,Exceptional,(1730 reviews),False,,True,€ 24
Amsterdam Light Festival Cruise from Central Station,Amsterdam,Discover the unique light art installations from the comfort of a boat,2.6 / 5,,(63 reviews),True,Duration: 1 hour 15 minutes,False,€ 26.50
All Inclusive Amsterdam Light Festival Cruise,Amsterdam,Discover the enchanting beauty of Amsterdam at night on our captivating guided canal cruise. Boar...,3.9 / 5,Good,(52 reviews),True,,False,€ 32
Madame Tussauds Ticket,Amsterdam,A ticket to this famous wax museum,4.3 / 5,Very good,(220 reviews),True,,False,€ 20
XtraCold Icebar Amsterdam,Amsterdam,Wrap yourself up in warm clothing and sip drinks in a -10 degrees Celsius bar,4.2 / 5,Very good,(128 reviews),True,Duration: 60 minutes,False,€ 24.50
Light Festival Canal Cruise,Amsterdam,A chance to witness the breathtaking light festival from the water,3 / 5,,(58 reviews),True,Duration: 1 hour 15 minutes,False,€ 26.50
Moco Museum and Banksy Exhibition Admission,Amsterdam,A museum visit featuring a range of modern and contemporary art by famed artists,4.3 / 5,Very good,(214 reviews),True,,False,€ 21.95
Canal Cruise,Amsterdam,A cruise to see some of Amsterdam's most famous landmarks from a canal,4.4 / 5,Excellent,(327 reviews),True,Duration: 60 minutes,False,€ 15
Evening Canal Cruise,Amsterdam,An evening cruise to take in the sights along the canals,4.3 / 5,Very good,(214 reviews),True,Duration: 1 hour 30 minutes,True,€ 23
Canal Cruise with Drinks and Cheese,Amsterdam,A sightseeing voyage down Amsterdam's famous canals in a classic river boat,4.5 / 5,Excellent,(2228 reviews),True,,False,€ 33.95
Artis Amsterdam Royal Zoo Admission,Amsterdam,Skip-the-line admission to one of the oldest zoos in Europe,4.6 / 5,Excellent,(169 reviews),True,,False,€ 25
Ripley's Believe It or Not! Amsterdam,Amsterdam,A chance to discover the five floors of Ripley's Believe It or Not! Amsterdam,4.4 / 5,Excellent,(55 reviews),True,Duration: 2 hours,False,€ 22.50
Red Light Secrets Museum Visit in Amsterdam,Amsterdam,A visit to the world's first and only museum dedicated to prostitution,3.7 / 5,Good,(99 reviews),True,,False,€ 14.50
Guided Canal Cruise,Amsterdam,Highlights of the islands in Jordaan and Amsterdam on a 75-minute visit,4.4 / 5,Excellent,(72 reviews),True,,False,€ 18.50
Bulldog Boat Smoke friendly Winter Cruise + 2 Drinks in Amsterdam,Amsterdam,The Bulldog Boat Tour gives you the most romantic and intimate night tour on the canals of Amster...,2.8 / 5,,(8 reviews),True,,False,€ 25
Admission to AMAZE,Amsterdam,A ticket to participate in an immersive multi-sensory audiovisual experience in Amsterdam,4.2 / 5,Very good,(59 reviews),True,,False,€ 26.95
