name,location,price,date_from,date_to,stars,km_from_center,num_external_reviews,booking_user_ratings,avg_user_ratings,airport_taxi,travel_sustainable_level,has_free_cancelation,price_category,cluster_label,date,location_encoded,date_encoded
Hotel Iron Horse Amsterdam,"Oud West, Amsterdam",964.7082496800001,2024-01-10,2024-01-25,3,1.5,1494,1,7.3,2,1,0,1,0,2024-01-10 to 2024-01-25,21,0
Sonder Park House,"Oud Zuid, Amsterdam",1625.6433667800002,2024-01-10,2024-01-25,4,1.7,3152,1,7.5,1,0,0,0,0,2024-01-10 to 2024-01-25,22,0
Homestay Properties,"Geuzenveld-Slotermeer, Amsterdam",1048.5329766900002,2024-01-10,2024-01-25,0,6.6,0,0,,1,0,0,2,2,2024-01-10 to 2024-01-25,11,0
The Social Hub Amsterdam City,"Oost, Amsterdam",1742.34404436,2024-01-10,2024-01-25,4,2.4,6949,2,8.4,1,2,0,0,0,2024-01-10 to 2024-01-25,19,0
Hotel Jansen Amsterdam Bajeskwartier,"Oost, Amsterdam",1332.96444414,2024-01-10,2024-01-25,0,4.2,1119,2,8.3,1,3,0,2,2,2024-01-10 to 2024-01-25,19,0
Qbic Amsterdam WTC,"Zuideramstel, Amsterdam",1144.24900497,2024-01-10,2024-01-25,3,3.9,3378,1,7.8,1,2,1,2,0,2024-01-10 to 2024-01-25,31,0
Wittenberg by Cove,"Amsterdam City Center, Amsterdam",1787.0787618600002,2024-01-10,2024-01-25,4,1.4,371,3,9.0,1,1,0,0,0,2024-01-10 to 2024-01-25,1,0
Joy Hotel,"Zuidoost, Amsterdam",943.25185245,2024-01-10,2024-01-25,3,8.5,7304,1,7.4,1,2,0,1,0,2024-01-10 to 2024-01-25,32,0
YOTEL Amsterdam,"Amsterdam Noord, Amsterdam",1163.67200595,2024-01-10,2024-01-25,4,2.2,7929,2,8.0,1,3,0,2,0,2024-01-10 to 2024-01-25,2,0
Ruby Emma Hotel Amsterdam,"Oost, Amsterdam",2225.12111562,2024-01-10,2024-01-25,4,4.3,5443,5,8.6,1,3,1,0,0,2024-01-10 to 2024-01-25,19,0
Element Amsterdam,"Zuideramstel, Amsterdam",1907.82996477,2024-01-10,2024-01-25,4,4.7,1082,5,8.7,1,4,0,0,0,2024-01-10 to 2024-01-25,31,0
the niu Fender,"Zeeburg, Amsterdam",1286.2288647300002,2024-01-10,2024-01-25,4,3.9,5324,2,8.2,1,4,0,2,0,2024-01-10 to 2024-01-25,30,0
Park Inn by Radisson Amsterdam City West,"Westpoort, Amsterdam",1374.64093368,2024-01-10,2024-01-25,4,3.9,17661,1,7.9,1,4,0,2,0,2024-01-10 to 2024-01-25,28,0
Moxy Amsterdam Houthavens,"Westpoort, Amsterdam",1377.65036013,2024-01-10,2024-01-25,4,3.4,2112,2,8.0,1,3,1,2,0,2024-01-10 to 2024-01-25,28,0
Fully fitted room - 15 min from central station,"Zeeburg, Amsterdam",1427.39536599,2024-01-10,2024-01-25,0,3.4,33,3,9.3,1,0,0,2,2,2024-01-10 to 2024-01-25,30,0
"Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel","Westpoort, Amsterdam",1408.76945634,2024-01-10,2024-01-25,3,4.1,7435,1,7.9,1,2,1,2,0,2024-01-10 to 2024-01-25,28,0
Tribe Amsterdam City,"Amsterdam Noord, Amsterdam",1314.387336,2024-01-10,2024-01-25,4,4.2,5489,3,9.0,1,3,1,2,0,2024-01-10 to 2024-01-25,2,0
