name,location,price,date,stars,km_from_center,num_external_reviews,booking_user_ratings,avg_user_ratings,airport_taxi,travel_sustainable_level,has_free_cancelation,town_location,price_category,month
"The Pavilions Amsterdam, The Toren","Amsterdam City Center, Amsterdam",233.45015667,2024-02-01,4,0.6,1044,5,8.9,0,4,False,Amsterdam,High,February
Sonder Park House,"Oud Zuid, Amsterdam",144.6151413,2024-02-01,4,1.7,3190,1,7.5,0,0,True,Amsterdam,High,February
Hotel Jansen Amsterdam Bajeskwartier,"Oost, Amsterdam",85.67918439,2024-02-01,0,4.2,1155,2,8.3,0,3,True,Amsterdam,Medium,February
AmicitiA,"Amsterdam City Center, Amsterdam",30.061730160000003,2024-02-01,0,1.2,1820,1,7.1,0,0,True,Amsterdam,Low,February
Hotel Washington,"Oud Zuid, Amsterdam",50.102883600000006,2024-02-01,2,2.1,2205,1,7.3,0,0,False,Amsterdam,Low,February
Vita Nova,"Amsterdam City Center, Amsterdam",30.061730160000003,2024-02-01,0,1.2,2482,1,7.2,0,0,True,Amsterdam,Low,February
Mps Holland,"Amsterdam City Center, Amsterdam",40.082306880000004,2024-02-01,0,1.3,1244,1,7.3,0,0,True,Amsterdam,Low,February
Budget Trianon Hotel,"Oud Zuid, Amsterdam",40.70045934,2024-02-01,2,2.1,2171,0,6.7,0,0,False,Amsterdam,Low,February
Belfort Hotel,"Oud Zuid, Amsterdam",40.58658915,2024-02-01,3,3.3,3177,0,6.3,0,0,False,Amsterdam,Low,February
Amsterdam Hotelboat,"Amsterdam City Center, Amsterdam",39.07374234,2024-02-01,0,1.2,1811,1,7.4,0,0,False,Amsterdam,Low,February
Hotel Amsterdam Inn,"Amsterdam City Center, Amsterdam",48.44363226,2024-02-01,2,1.2,1904,0,6.8,0,1,False,Amsterdam,Low,February
The Alfred Hotel,"Oud Zuid, Amsterdam",54.10460742,2024-02-01,3,2.6,5032,1,7.2,0,1,True,Amsterdam,Low,February
XO Hotel Inner,"Oud Zuid, Amsterdam",54.592622520000006,2024-02-01,3,2.1,5072,1,7.8,0,1,False,Amsterdam,Low,February
