name,location,price,date,stars,km_from_center,num_external_reviews,booking_user_ratings,avg_user_ratings,airport_taxi,travel_sustainable_level,has_free_cancelation,town_location,price_category,month
Hotel Goodnight Antwerp,"Antwerp Center, Antwerp",117.74177646000001,2024-02-01,0,1.3,520,5,8.9,0,1,False,Antwerp,Medium,February
Citybox Antwerp,"Antwerp Center, Antwerp",62.124322230000004,2024-02-01,3,1.1,12332,2,8.5,0,1,True,Antwerp,Low,February
Casa Amor,"Antwerp Center, Antwerp",34.50266757,2024-02-01,0,150.0,87,0,6.7,0,0,True,Antwerp,Low,February
B&B HOTEL Antwerpen Centrum,"Antwerp Center, Antwerp",67.63889286,2024-02-01,3,1.1,9631,5,8.6,0,1,False,Antwerp,Low,February
ibis budget Antwerpen Centraal Station,"Antwerp Center, Antwerp",54.397416480000004,2024-02-01,2,1.9,6256,1,7.3,0,1,False,Antwerp,Low,February
ibis Antwerpen Centrum,"Antwerp Center, Antwerp",65.83323699,2024-02-01,3,1.1,3495,1,7.6,0,1,False,Antwerp,Low,February
Hampton By Hilton Antwerp Central Station,"Antwerp Center, Antwerp",102.20662911000001,2024-02-01,3,1.5,8798,2,8.4,0,4,False,Antwerp,Medium,February
"Hotel Indigo Antwerp City Centre, an IHG Hotel","Antwerp Center, Antwerp",92.83673919,2024-02-01,4,1.5,2821,2,8.4,0,4,False,Antwerp,Medium,February
Suite city center in quiet street & airco,"Antwerp Center, Antwerp",37.756101570000006,2024-02-01,0,0.6,262,2,8.1,0,3,False,Antwerp,Low,February
prizeotel Antwerp-City,"Antwerp Center, Antwerp",79.28618658,2024-02-01,2,1.2,9411,2,8.3,0,2,False,Antwerp,Low,February
NH Collection Antwerp Centre,"Antwerp Center, Antwerp",110.22634392,2024-02-01,4,1.6,5648,5,8.7,0,4,False,Antwerp,Medium,February
Hotel National Antwerp,"Antwerp Center, Antwerp",69.90002949000001,2024-02-01,3,0.5,2121,1,7.4,0,1,True,Antwerp,Low,February
Beaux ARTS,"Antwerp Center, Antwerp",49.094319060000004,2024-02-01,0,1.5,1303,1,7.4,0,0,False,Antwerp,Low,February
Astoria Hotel Antwerp,"Antwerp Center, Antwerp",58.984758420000006,2024-02-01,3,1.4,3285,1,7.0,0,4,False,Antwerp,Low,February
